index,input_TL,output_han,output_TL,option
25380,tshennbak,醒目,,
25381,tshennbinliauge,青面獠牙,tshenn-bīn-liâu-gê/tshinn-bīn-liâu-gê,
25382,tshenngoo,醒悟,síng-ngōo,
25383,tshennhuan,生番,tshenn-huan/tshinn-huan,
25384,tshennhuanakionn,青番仔薑,,
25385,tshennhun,生份,,
25386,tshennhunlang,生份人,senn-hūn-lâng/sinn-hūn-lâng,
25387,tshennki,青耆,tshenn-kî/tshinn-kî,
25388,tshennkiann,生驚,,
25389,tshennkng,星光,,
25390,tshennkong,生狂,tshenn-kông/tshinn-kông,
25391,tshennkonggan,青光眼,tshenn-kong-gán/tshinn-kong-gán,
25392,tshennlai,醒來,,
25393,tshennling,生冷,tshenn-líng/tshinn-líng,
25394,tshennm,親姆,,
25395,tshennme,青盲,,
25396,tshennmegu,青盲牛,tshenn-mê-gû/tshinn-mî-gû,
25397,tshennmpo,親姆婆,tshenn-ḿ-pô/tshinn-ḿ-pô,
25398,tshennpongpehpong,青磅白磅,tshenn-pōng-pe̍h-pōng/tshinn-pōng-pe̍h-pōng,
25399,tshennsik,青色,tshenn-sik/tshinn-sik,
25400,tshennsoo,生疏,tshenn-soo/tshinn-soo,
25401,tshennsunsun,青恂恂,tshenn-sún-sún/tshinn-sún-sún,
25402,tshennthi,青苔,tshenn-thî/tshinn-thî,
25403,tshennti,青苔,tshenn-thî/tshinn-thî,
25404,tshenntiksi,青竹絲,tshenn-tik-si/tshinn-tik-si,
25405,tshenntong,菁桐,Tshinn-tông,附錄
25406,tshenntshai,生菜,tshenn-tshài/tshinn-tshài,
25407,tshenntshai,青菜,tshenn-tshài/tshinn-tshài,
25408,tshenntshau,青草,,
25409,tshenntshau,腥臊,tshenn-tshau/tshinn-tshau,
25410,tshenntshauate,青草仔茶,tshenn-tsháu-á-tê/tshinn-tsháu-á-tê,
25411,tshenntshauatiam,青草仔店,tshenn-tsháu-á-tiàm/tshinn-tsháu-á-tiàm,
25412,tshenntshui,青翠,tshenn-tshuì/tshinn-tshuì,
25413,tsherkauler,吹狗螺,tshue-káu-lê/tshe-káu-lê,
25414,tsherker,炊粿,tshue kué/tshe ké,
25415,tsherler,吹螺,,
25416,tshersannkoo,揣三姑,,
25417,tshesiau,坐數,tshē-siàu,
25418,tshesng,炊床,tshue-sn̂g/tshe-sn̂g,
25419,tshet,草鞋墩,Tsháu-ê-tun,附錄
25420,tshet,喙下斗,tshuì-ē-táu,
25421,tshetau,炊斗,tshue-táu/tshe-táu,
25422,tshethauloo,揣頭路,tshuē thâu-lōo/tshē thâu-lōo,
25423,tshetshau,腥臊,tshenn-tshau/tshinn-tshau,
25424,tshga,赤牛仔,,
25425,tshgh,市議會,Tshī-gī-huē,附錄
25426,tshgs,十花五色,tsa̍p-hue-gōo-sik,
25427,tshgt,春牛圖,tshun-gû-tôo,
25428,tshh,註好好,tsù-hó-hó,
25429,tshha,手扞仔,tshiú-huānn-á,
25430,tshha,插花仔,tshah-hue-á,
25431,tshhaa,臭耳甕仔,tshàu-hīnn-àng-á/tshàu-hī-àng-á,
25432,tshhak,青番仔薑,,
25433,tshhh,笑咍咍,tshiò-hai-hai,
25434,tshhh,臭火薰,tshàu-hué-hun/tshàu-hé-hun,
25435,tshhh,臭薟薟,tshàu-hiam-hiam,
25436,tshhk,吹風機,tshue-hong-ki/tshe-hong-ki,
25437,tshhk,青番薑,,
25438,tshhkh,手風琴,tshiú-hong-khîm,
25439,tshhkh,出風口,tshut-hong-kháu,
25440,tshhl,生份人,senn-hūn-lâng/sinn-hūn-lâng,
25441,tshhl,田岸路,tshân-huānn-lōo,
25442,tshhl,臭耳聾,tshàu-hīnn-lâng/tshàu-hī-lâng,
25443,tshhl,親和力,tshin-hô-li̍k,
25444,tshhs,促歲壽,tshik-huè-siū/tshik-hè-siū,
25445,tshhs,臭火燒,tshàu-hué-sio/tshàu-hé-sio,
25446,tshht,臭火焦,tshàu-hué-ta/tshàu-hé-ta,
25447,tshht,裁縫店,tshâi-hông-tiàm,
25448,tshhth,出風頭,tshut-hong-thâu,
25449,tshhts,初學者,tshoo-ha̍k-tsiá,
25450,tshhtsh,裁縫車,,
25451,tshhtsha,裁縫車仔,,
25452,tshi,一服藥,,
25453,tshia,刺仔,tshì-á,
25454,tshiaa,車仔,tshia-á,
25455,tshiaasuann,車仔線,tshia-á-suànn,
25456,tshiaatsiam,車仔針,tshia-á-tsiam,
25457,tshiaautau,車後斗,tshia-āu-táu,
25458,tshiabak,斜目,tshiâ-ba̍k,
25459,tshiabe,車迷,tshia-bê,
25460,tshiahang,車行,tshia-hâng,
25461,tshiahbah,赤肉,tshiah-bah,
25462,tshiahbak,赤目,tshiah-ba̍k,
25463,tshiahgu,赤牛,tshiah-gû,
25464,tshiahgua,赤牛仔,,
25465,tshiahhue,刺花,tshiah-hue,
25466,tshiahiah,刺疫,tshiah-ia̍h,
25467,tshiahing,車型,tshia-hîng,
25468,tshiahji,刺字,tshiah-jī/tshiah-lī,
25469,tshiahkha,赤跤,,
25470,tshiahkham,赤崁,Tshiah-khàm,附錄
25471,tshiahkhasiana,赤跤仙仔,tshiah-kha-sian-á,
25472,tshiahki,鍤箕,tshiah-ki,
25473,tshiahkiunn,赤蜣,,
25474,tshiahli,刺字,tshiah-jī/tshiah-lī,
25475,tshiahmaa,赤媽仔,,
25476,tshiaho,車號,tshia-hō,
25477,tshiaho,車禍,tshia-hō,
25478,tshiahong,車況,tshia-hóng,
25479,tshiahor,車號,tshia-hō,
25480,tshiahpepe,刺耙耙,tshiah-pê-pê,
25481,tshiahphongse,刺膨紗,tshiah-phòng-se,
25482,tshiahsiu,刺繡,tshiah-siù,
25483,tshiahsng,刺酸,,
25484,tshiahsua,赤砂,tshiah-sua,
25485,tshiahtsaboo,刺查某,tshiah-tsa-bóo,
25486,tshiahtsang,赤鯮,tshiah-tsang,
25487,tshiahua,奢華,tshia-hua,
25488,tshiaiann,奢颺,tshia-iānn,
25489,tshiake,車價,tshia-kè,
25490,tshiakhak,車殼,tshia-khak,
25491,tshiakhoo,車庫,tshia-khòo,
25492,tshiakhuan,車款,tshia-khuán,
25493,tshiakoohi,車鼓戲,tshia-kóo-hì,
25494,tshiaktshiaktio,嚓嚓趒,tshia̍k-tshia̍k-tiô,
25495,tshialian,車輪,tshia-lián,
25496,tshialianpiann,車輪餅,,
25497,tshialiantau,捙輾斗,tshia-liàn-táu,
25498,tshialintau,捙輾斗,tshia-liàn-táu,
25499,tshialiong,車輛,tshia-lióng,
25500,tshiama,簽仔,tshiam-á,
25501,tshiama,攕仔,tshiám-á,
25502,tshiamiok,簽約,tshiam iok,
25503,tshiamji,簽字,tshiam-jī/tshiam-lī,
25504,tshiamli,簽字,tshiam-jī/tshiam-lī,
25505,tshiammia,簽名,tshiam-miâ,
25506,tshiamng,車門,tshia-mn̂g,
25507,tshiampo,簽報,,
25508,tshiampor,簽報,,
25509,tshiamsi,籤詩,,
25510,tshiamsu,簽署,tshiam-sú,
25511,tshiamtang,籤筒,tshiam-tâng,
25512,tshiamtann,攕擔,tshiam-tann,
25513,tshiamting,簽訂,tshiam-tīng,
25514,tshiamto,簽到,tshiam-tò,
25515,tshiamtsing,簽證,tshiam-tsìng,
25516,tshiamui,車門,tshia-mn̂g,
25517,tshiamui,僭位,tsiàm-uī,
25518,tshianban,千萬,,
25519,tshianbin,淺眠,tshián-bîn,
25520,tshiangkhake,蹌跤雞,tshiáng-kha-ke/tshiáng-kha-kue,
25521,tshiangkhakue,蹌跤雞,tshiáng-kha-ke/tshiáng-kha-kue,
25522,tshiangkhoole,蹌箍螺,tshiáng-khoo-lê,
25523,tshiangpoo,菖蒲,tshiong-pôo,
25524,tshiangsiann,唱聲,tshiàng-siann,
25525,tshiangtsai,常在,tshiâng-tsāi,
25526,tshiangtshiangkun,沖沖滾,tshiâng-tshiâng-kún,
25527,tshiangtsui,沖水,tshiâng-tsuí,
25528,tshiangtutshiang,䢢拄䢢,tshiāng-tú-tshiāng,
25529,tshianjip,遷入,tshian-ji̍p/tshian-li̍p,
25530,tshianki,遷居,tshian-ki/tshian-ku,
25531,tshiankian,淺見,tshián-kiàn,
25532,tshiankim,千金,tshian-kim,
25533,tshiankimphoo,千金譜,tshian-kim-phóo,
25534,tshiankintshin,千斤秤,tshian-kin-tshìn/tshian-kun-tshìn,
25535,tshiankoo,千古,tshian-kóo,
25536,tshianku,遷居,tshian-ki/tshian-ku,
25537,tshiankuntshin,千斤秤,tshian-kin-tshìn/tshian-kun-tshìn,
25538,tshianligan,千里眼,Tshian-lí-gán,
25539,tshianlikiann,千里鏡,tshian-lí-kiànn,
25540,tshianlip,遷入,tshian-ji̍p/tshian-li̍p,
25541,tshiannban,且慢,tshiánn-bān,
25542,tshianne,倩的,tshiànn--ê,
25543,tshianne,倩个,,
25544,tshianniong,晟養,tshiânn-ióng,
25545,tshiannlangkheh,請人客,tshiánn-lâng-kheh,
25546,tshiannmng,請問,tshiánn-mn̄g,
25547,tshiannsin,請神,tshiánn-sîn,
25548,tshiannthiap,請帖,tshiánn-thiap,
25549,tshianntoh,請桌,tshiánn-toh,
25550,tshianntse,請坐,tshiánn-tsē,
25551,tshiansik,淺色,tshián-sik,
25552,tshiansinbankhoo,千辛萬苦,tshian-sin-bān-khóo,
25553,tshiansiunn,淺想,tshián-siūnn,
25554,tshiansua,遷徙,tshian-suá,
25555,tshianthua,淺拖,,
25556,tshianthuaa,淺拖仔,tshián-thua-á,
25557,tshiantshau,仙草,sian-tsháu,
25558,tshiantshianbanban,千千萬萬,tshian-tshian-bān-bān,
25559,tshiantshiu,韆鞦,,
25560,tshiapai,車牌,tshia-pâi,
25561,tshiapang,車幫,tshia-pang,
25562,tshiaphalin,捙拋輪,,
25563,tshiaphio,車票,tshia-phiò,
25564,tshiapiann,捙拚,tshia-piànn,
25565,tshiapoopinn,車布邊,tshia pòo-pinn,
25566,tshiapto,竊盜,tshiap-tō,
25567,tshiapuahping,捙跋反,tshia-pua̍h-píng,
25568,tshiapuann,捙盤,tshia-puânn,
25569,tshiapuntau,捙畚斗,tshia-pùn-táu,
25570,tshiasanntshiaa,車衫車仔,,
25571,tshiasiannhiong,車城鄉,Tshâ-siânn-hiong,附錄
25572,tshiasim,車心,tshia-sim,
25573,tshiasin,車身,tshia-sin,
25574,tshiasiong,車商,tshia-siong,
25575,tshiasiunn,車廂,tshia-siunn,
25576,tshiathang,車窗,tshia-thang,
25577,tshiathau,車頭,tshia-thâu,
25578,tshiathe,車體,tshia-thé,
25579,tshiathue,車體,tshia-thé,
25580,tshiatian,車展,tshia-tián,
25581,tshiatiann,車埕,Tshia-tiânn,附錄
25582,tshiating,車頂,tshia-tíng,
25583,tshiating,車燈,tshia-ting,
25584,tshiatjip,切入,,
25585,tshiatkhui,切開,tshiat-khui,
25586,tshiato,車道,tshia-tō,
25587,tshiatong,車擋,tshia-tòng,
25588,tshiatphinn,切片,tshiat-phìnn,
25589,tshiatsam,車站,,
25590,tshiatshionn,車廠,tshia-tshiúnn,
25591,tshiatshiu,車手,tshia-tshiú,
25592,tshiatshiunn,車廠,tshia-tshiúnn,
25593,tshiatsiang,車掌,tshia-tsióng,
25594,tshiatsinn,車錢,tshia-tsînn,
25595,tshiatsiong,車掌,tshia-tsióng,
25596,tshiatsiong,車種,tshia-tsióng,
25597,tshiatsu,車主,tshia-tsú,
25598,tshiattng,切斷,tshiat-tn̄g,
25599,tshiattshiu,切手,tshiat-tshiú,
25600,tshiattu,切除,tshiat-tû,
25601,tshiattuan,切斷,tshiat-tn̄g,
25602,tshiattuinn,切斷,tshiat-tn̄g,
25603,tshiatuann,切換,tshiat-uānn,
25604,tshiatuann,車單,tshia-tuann,
25605,tshiatui,車隊,tshia-tuī,
25606,tshiaugin,超人,tshiau-jîn/tshiau-lîn,
25607,tshiauhuan,超凡,tshiau-huân,
25608,tshiauhuan,操煩,tshau-huân,
25609,tshiaui,車位,tshia-uī,
25610,tshiauimpho,超音波,tshiau-im-pho,
25611,tshiauimphor,超音波,tshiau-im-pho,
25612,tshiaujian,超然,tshiau-jiân/tshiau-liân,
25613,tshiaujin,超人,tshiau-jîn/tshiau-lîn,
25614,tshiauke,超過,tshiau-kuè/tshiau-kè,
25615,tshiaukholi,巧克力,,
25616,tshiaukip,超級,tshiau-kip,
25617,tshiaukue,超過,tshiau-kuè/tshiau-kè,
25618,tshiaulian,超然,tshiau-jiân/tshiau-liân,
25619,tshiaulin,超人,tshiau-jîn/tshiau-lîn,
25620,tshiausing,超生,tshiau-sing,
25621,tshiausinkhu,搜身軀,tshiau sin-khu,
25622,tshiausitsing,撨時鐘,tshiâu sî-tsing,
25623,tshiausiu,超收,tshiau-siu,
25624,tshiausok,超速,tshiau-sok,
25625,tshiautam,笑談,tshiàu-tâm,
25626,tshiautoo,超度,tshiau-tōo,
25627,tshiautshi,超市,tshiau-tshī,
25628,tshiautshik,撨摵,tshiâu-tshi̍k,
25629,tshiautshue,搜揣,,
25630,tshiautshut,超出,,
25631,tshiauuat,超越,tshiau-ua̍t,
25632,tshibe,痴迷,tshi-bê,
25633,tshibin,市民,tshī-bîn,
25634,tshibin,市面,tshī-bīn,
25635,tshibutshihtshu,嗤舞嗤呲,tshi-bú-tshi̍h-tshū,
25636,tshigiam,試驗,tshì-giām,
25637,tshigihue,市議會,Tshī-gī-huē,附錄
25638,tshiha,蠘仔,tshi̍h-á,
25639,tshihtianling,揤電鈴,tshi̍h tiān-lîng,
25640,tshiiong,市容,tshī-iông,
25641,tshiiong,試用,tshì-iōng,
25642,tshiiu,持有,tshî-iú,
25643,tshik,臭油垢,tshàu-iû-káu,
25644,tshika,粟仔,tshik-á,
25645,tshika,摵仔,,
25646,tshikakathang,刺角仔蟲,,
25647,tshikami,摵仔麵,tshi̍k-á-mī,
25648,tshike,市價,tshī-kè,
25649,tshikgiam,測驗,tshik-giām,
25650,tshikhakke,鼠麴粿,tshí-khak-kué/tshú-khak-ké,
25651,tshikhakkue,鼠麴粿,tshí-khak-kué/tshú-khak-ké,
25652,tshikhaktshau,鼠麴草,tshí-khak-tsháu/tshú-khak-tsháu,
25653,tshikhesiu,促歲壽,tshik-huè-siū/tshik-hè-siū,
25654,tshikhik,刺激,tshì-kik,
25655,tshikhu,市區,,附錄
25656,tshikhuann,試看,tshì-khuànn,
25657,tshikhuannmai,試看覓,tshì-khuànn-māi,
25658,tshikhuesiu,促歲壽,tshik-huè-siū/tshik-hè-siū,
25659,tshikiamtann,試鹹淡,,
25660,tshikiamtsiann,試鹹汫,tshì kiâm-tsiánn,
25661,tshikik,刺激,tshì-kik,
25662,tshikliok,策略,tshik-lio̍k,
25663,tshikliong,測量,tshik-liông,
25664,tshikng,試卷,,
25665,tshiko,痴哥,tshi-ko,
25666,tshikoo,持股,tshî-kóo,
25667,tshikosin,痴哥神,tshi-ko-sîn,
25668,tshiktiann,粟埕,,
25669,tshikto,赤道,,
25670,tshiktshenn,粟青,tshik-tshenn/tshik-tshinn,
25671,tshiktshinn,粟青,tshik-tshenn/tshik-tshinn,
25672,tshiktshng,粟倉,tshik-tshng,
25673,tshiktsiau,粟鳥,,
25674,tshiktsiaua,粟鳥仔,tshik-tsiáu-á,
25675,tshiktsiaua,鵲鳥仔,,
25676,tshikue,刺瓜,,
25677,tshikue,策畫,tshik-uē,
25678,tshikue,策劃,,
25679,tshikuea,刺瓜仔,tshì-kue-á,
25680,tshikui,刺䲅,tshì-kui,
25681,tshikui,策畫,tshik-uē,
25682,tshilai,市內,tshī-lāi,
25683,tshiliau,飼料,tshī-liāu,
25684,tshiling,飼奶,tshī-ling/tshī-ni,
25685,tshilip,市立,,附錄
25686,tshiloathang,刺羅仔蟲,,附錄
25687,tshima,鋟仔,,附錄
25688,tshima,鑱仔,tshîm-á,
25689,tshimhai,侵害,tshim-hāi,
25690,tshimhoo,深厚,,
25691,tshimhuan,侵犯,tshim-huān,
25692,tshimia,深夜,tshim-iā,
25693,tshimiathang,刺毛仔蟲,,
25694,tshimikauthang,刺毛狗蟲,,
25695,tshimjip,侵入,tshim-ji̍p/tshim-li̍p,
25696,tshimjip,深入,tshim-ji̍p/tshim-li̍p,
25697,tshimkau,深交,tshim-kau,
25698,tshimkhenn,深坑,tshim-khenn/tshim-khinn,
25699,tshimkhennhiong,深坑鄉,,
25700,tshimkhik,深刻,tshim-khik,
25701,tshimkhinn,深坑,tshim-khenn/tshim-khinn,
25702,tshimkhinnhiong,深坑鄉,,
25703,tshimliok,侵略,tshim-lio̍k,
25704,tshimlip,侵入,tshim-ji̍p/tshim-li̍p,
25705,tshimlip,深入,tshim-ji̍p/tshim-li̍p,
25706,tshimoothang,刺毛蟲,tshì-môo-thâng,
25707,tshimsih,侵蝕,,
25708,tshimsik,深色,tshim-sik,
25709,tshimsik,寢室,tshím-sik,
25710,tshimsin,深信,,
25711,tshimsip,侵襲,,
25712,tshimsu,深思,,
25713,tshimthau,寢頭,,
25714,tshimtim,深沉,tshim-tîm,
25715,tshimtoo,深度,tshim-tōo,
25716,tshimtsan,深層,tshim-tsân,
25717,tshimtsenn,深井,tshim-tsénn/tshim-tsínn,
25718,tshimtshenna,鋟鎈仔,,
25719,tshimtshian,深淺,tshim-tshián,
25720,tshimtshim,深深,tshim-tshim,
25721,tshimtshimtshenna,鋟鋟鎈仔,,
25722,tshimtsing,深情,tshim-tsîng,
25723,tshimtsinn,深井,tshim-tsénn/tshim-tsínn,
25724,tshimtso,深造,tshim-tsō,
25725,tshimuan,深遠,tshim-uán,
25726,tshina,秤仔,tshìn-á,
25727,tshinahue,秤仔花,tshìn-á-hue,
25728,tshinai,親愛,tshin-ài,
25729,tshinbak,親目,tshin-ba̍k,
25730,tshinbe,凊糜,tshìn-muê/tshìn-bê,
25731,tshinbit,親密,tshin-bi̍t,
25732,tshinga,筅仔,,
25733,tshinga,榕仔,tshîng-á,
25734,tshingan,請安,tshíng-an,
25735,tshingan,親眼,,
25736,tshingatshiu,榕仔樹,,
25737,tshingbe,清糜,tshing-muê/tshing-bê,
25738,tshingbing,清明,tshing-bîng/tshinn-miâ,附錄
25739,tshingbing,請命,tshíng-bīng,
25740,tshinggoo,千五,,
25741,tshingguan,請願,tshíng-guān,
25742,tshinggutoo,春牛圖,tshun-gû-tôo,
25743,tshinghan,清寒,tshing-hân,
25744,tshinghe,清火,tshing-hué/tshing-hé,
25745,tshinghoo,稱呼,tshing-hoo,
25746,tshinghue,清火,tshing-hué/tshing-hé,
25747,tshinging,清閒,tshing-îng,
25748,tshingiu,清幽,tshing-iu,
25749,tshingka,請假,tshíng-ká,
25750,tshingkau,請教,tshíng-kàu,
25751,tshingke,親家,tshin-ke,
25752,tshingkhake,蹌跤雞,tshiáng-kha-ke/tshiáng-kha-kue,
25753,tshingkhakue,蹌跤雞,tshiáng-kha-ke/tshiáng-kha-kue,
25754,tshingkhang,銃空,tshìng-khang,
25755,tshingkhi,清氣,tshing-khì,
25756,tshingkhisiunn,清氣相,tshing-khì-siùnn,
25757,tshingkiat,清潔,tshing-kiat,
25758,tshingkiu,請求,tshíng-kiû,
25759,tshingkue,穿過,,
25760,tshingli,清理,tshing-lí,
25761,tshingliam,清廉,tshing-liâm,
25762,tshinglian,青年,tshing-liân,
25763,tshingliang,清涼,tshing-liâng,
25764,tshingmuai,清糜,tshing-muê/tshing-bê,
25765,tshingmue,清糜,tshing-muê/tshing-bê,
25766,tshingphang,清芳,tshing-phang,
25767,tshingphinn,擤鼻,tshìng-phīnn,
25768,tshingpik,清白,tshing-pi̍k,
25769,tshingpoo,青埔,Tshing-poo,附錄
25770,tshingsan,青山,tshing-san,
25771,tshingsat,銃殺,tshìng-sat,
25772,tshingsau,清掃,tshing-sàu,
25773,tshingse,清洗,tshing-sé/tshing-sué,
25774,tshingsere,清洗,tshing-sé/tshing-sué,
25775,tshingsi,請示,tshíng-sī,
25776,tshingsi,請辭,tshíng-sî,
25777,tshingsiau,清數,tshing-siàu,
25778,tshingsiaulian,青少年,,
25779,tshingsik,清晰,,
25780,tshingsim,清心,tshing-sim,
25781,tshingsin,清新,tshing-sin,
25782,tshingsiu,清秀,tshing-siù,
25783,tshingsng,清算,tshing-suàn,
25784,tshingsong,清爽,tshing-sóng,
25785,tshingsuan,清算,tshing-suàn,
25786,tshingsue,清洗,tshing-sé/tshing-sué,
25787,tshingsui,清水,tshing-tsuí,
25788,tshingtai,清大,,
25789,tshingtai,清代,Tshing-tāi,
25790,tshingtam,清淡,,
25791,tshingte,清茶,tshing-tê,
25792,tshingthian,青天,tshing-thian,
25793,tshingthun,筅黗,,
25794,tshingtiau,清朝,,
25795,tshingtsa,清早,,
25796,tshingtsa,清查,tshing-tsa,
25797,tshingtsan,稱讚,,
25798,tshingtshah,穿插,tshīng-tshah,
25799,tshingtshenn,清醒,tshing-tshénn/tshing-tshínn,
25800,tshingtshinn,清醒,tshing-tshénn/tshing-tshínn,
25801,tshingtshiu,銃手,tshìng-tshiú,
25802,tshingtshiu,榕樹,,
25803,tshingtsho,清楚,tshing-tshó,
25804,tshingtshoo,清楚,tshing-tshó,
25805,tshingtshun,青春,tshing-tshun,
25806,tshingtsi,銃子,tshìng-tsí,
25807,tshingtsing,清淨,tshing-tsīng,
25808,tshingtsinsi,清真寺,tshing-tsin-sī,
25809,tshingtsiu,清酒,tshing-tsiú,
25810,tshingtsue,請罪,tshíng-tsuē,
25811,tshingtsui,清水,tshing-tsuí,
25812,tshingtsuigiam,清水巖,Tshing-tsuí-giâm,附錄
25813,tshingtsuikhe,清水溪,Tshing-tsuí-khe,附錄
25814,tshingtsuitin,清水鎮,,附錄
25815,tshingtu,清除,tshing-tû,
25816,tshingtuann,清單,tshing-tuann,
25817,tshingui,稱為,,
25818,tshingun,清運,tshing-ūn,
25819,tshinho,親和,tshin-hô,
25820,tshinholik,親和力,tshin-hô-li̍k,
25821,tshini,飼奶,tshī-ling/tshī-ni,
25822,tshiniu,親友,tshin-iú,
25823,tshinke,親家,tshin-ke,
25824,tshinkekong,親家公,tshin-ke-kong,
25825,tshinkin,親近,tshin-kīn/tshin-kūn,
25826,tshinkuann,凊汗,,
25827,tshinkun,親近,tshin-kīn/tshin-kūn,
25828,tshinkutjiok,親骨肉,tshin-kut-jio̍k/tshin-kut-lio̍k,
25829,tshinkutliok,親骨肉,tshin-kut-jio̍k/tshin-kut-lio̍k,
25830,tshinlang,親人,tshin-lâng,
25831,tshinmuai,凊糜,tshìn-muê/tshìn-bê,
25832,tshinmue,凊糜,tshìn-muê/tshìn-bê,
25833,tshinna,菁仔,,
25834,tshinnangting,青紅燈,tshenn-âng-ting/tshinn-âng-ting,
25835,tshinnatsang,菁仔欉,tshenn-á-tsâng/tshinn-á-tsâng,
25836,tshinnbinliauge,青面獠牙,tshenn-bīn-liâu-gê/tshinn-bīn-liâu-gê,
25837,tshinngoo,醒悟,síng-ngōo,
25838,tshinnhuan,生番,tshenn-huan/tshinn-huan,
25839,tshinnhuankiunn,青番薑,,
25840,tshinnhue,鮮花,tshinn-hue,
25841,tshinnhun,生份,,
25842,tshinnhunlang,生份人,senn-hūn-lâng/sinn-hūn-lâng,
25843,tshinnki,青耆,tshenn-kî/tshinn-kî,
25844,tshinnkia,青吱仔,,
25845,tshinnkiann,生驚,,
25846,tshinnkong,生狂,tshenn-kông/tshinn-kông,
25847,tshinnkonggan,青光眼,tshenn-kong-gán/tshinn-kong-gán,
25848,tshinnling,生冷,tshenn-líng/tshinn-líng,
25849,tshinnm,親姆,,
25850,tshinnmi,青盲,,
25851,tshinnmia,清明,tshing-bîng/tshinn-miâ,附錄
25852,tshinnmigu,青盲牛,tshenn-mê-gû/tshinn-mî-gû,
25853,tshinnmpo,親姆婆,tshenn-ḿ-pô/tshinn-ḿ-pô,
25854,tshinnpongpehpong,青磅白磅,tshenn-pōng-pe̍h-pōng/tshinn-pōng-pe̍h-pōng,
25855,tshinnsik,青色,tshenn-sik/tshinn-sik,
25856,tshinnsik,靘色,,
25857,tshinnsoo,生疏,tshenn-soo/tshinn-soo,
25858,tshinnsunsun,青恂恂,tshenn-sún-sún/tshinn-sún-sún,
25859,tshinnthi,青苔,tshenn-thî/tshinn-thî,
25860,tshinntiksi,青竹絲,tshenn-tik-si/tshinn-tik-si,
25861,tshinntong,菁桐,Tshinn-tông,附錄
25862,tshinntshai,生菜,tshenn-tshài/tshinn-tshài,
25863,tshinntshai,青菜,tshenn-tshài/tshinn-tshài,
25864,tshinntsham,悽慘,tshi-tshám,
25865,tshinntshamlokphik,悽慘落魄,tshi-tshám-lo̍k-phik,
25866,tshinntshau,青草,,
25867,tshinntshau,腥臊,tshenn-tshau/tshinn-tshau,
25868,tshinntshauate,青草仔茶,tshenn-tsháu-á-tê/tshinn-tsháu-á-tê,
25869,tshinntshauatiam,青草仔店,tshenn-tsháu-á-tiàm/tshinn-tsháu-á-tiàm,
25870,tshinntshioh,鮮沢,tshinn-tshioh,
25871,tshinntshui,青翠,tshenn-tshuì/tshinn-tshuì,
25872,tshinpit,親筆,tshin-pit,
25873,tshinpng,凊飯,tshìn-pn̄g,
25874,tshinpuinn,凊飯,tshìn-pn̄g,
25875,tshinsenn,親生,tshin-senn/tshin-sinn,
25876,tshinsian,親善,tshin-siān,
25877,tshinsim,凊心,tshìn-sim,
25878,tshinsin,親身,tshin-sin,
25879,tshinsinn,親生,tshin-senn/tshin-sinn,
25880,tshinsiok,親屬,tshin-sio̍k,
25881,tshinsu,親事,tshin-sū,
25882,tshinthau,秤頭,,
25883,tshintho,秤砣,,
25884,tshinthok,襯托,,
25885,tshinthui,秤錘,tshìn-thuî,
25886,tshinthuia,秤錘仔,,
25887,tshinto,秤砣,,
25888,tshintong,親堂,tshin-tông,
25889,tshintoo,秤砣,,
25890,tshintshai,凊彩,tshìn-tshái,
25891,tshintshiat,親切,tshin-tshiat,
25892,tshintshiatkam,親切感,,
25893,tshintshik,親戚,tshin-tshik,
25894,tshintshiu,親手,tshin-tshiú,
25895,tshintshiunn,親像,,
25896,tshintshui,親喙,tshin-tshuì,
25897,tshintsiann,親情,,
25898,tshintsianngootsap,親情五十,tshin-tsiânn-gōo-tsa̍p,
25899,tshintsing,親情,,
25900,tshintsir,親子,tshin-tsú,
25901,tshintsir,親自,tshin-tsū,
25902,tshintsok,親族,tshin-tso̍k,
25903,tshintsu,親子,tshin-tsú,
25904,tshintsu,親自,tshin-tsū,
25905,tshiobinhoo,笑面虎,tshiò-bīn-hóo,
25906,tshiohaihai,笑咍咍,tshiò-hai-hai,
25907,tshioiong,笑容,tshiò-iông,
25908,tshioke,𪁎雞,tshio-ke/tshio-kue,
25909,tshiokhuan,觸犯,tshiok-huān,
25910,tshiokhue,笑詼,,
25911,tshiokkak,觸角,,
25912,tshioko,𪁎哥,tshio-ko,
25913,tshiokpan,雀斑,tshiok-pan,
25914,tshioksiau,促銷,tshiok-siau,
25915,tshioksing,促成,tshiok-sîng,
25916,tshioksu,促使,tshiok-sú,
25917,tshioktsin,促進,tshiok-tsìn,
25918,tshiokue,𪁎雞,tshio-ke/tshio-kue,
25919,tshiongbuan,充滿,tshiong-buán,
25920,tshionghiat,充血,tshiong-hiat,
25921,tshionghuan,沖犯,tshiong-huān,
25922,tshionghun,充分,tshiong-hun,
25923,tshiongkik,衝擊,tshiong-kik,
25924,tshiongkong,充公,tshiong-kong,
25925,tshiongphai,充沛,,
25926,tshiongpoo,菖蒲,tshiong-pôo,
25927,tshiongsiau,沖銷,tshiong-siau,
25928,tshiongsit,充實,tshiong-si̍t,
25929,tshiongtian,充電,tshiong-tiān,
25930,tshiongtong,衝動,tshiong-tōng,
25931,tshiongtsiok,充足,tshiong-tsiok,
25932,tshiongtut,衝突,tshiong-tu̍t,
25933,tshionnan,搶案,tshiúnn-àn,
